label,extracted_symptoms,symptom_tokens
allergy,difficulty breathing fever headache wheezing,"['difficulty', 'breathing', 'fever', 'headache', 'wheezing']"
allergy,cramps fever muscle aches sore throat,"['cramps', 'fever', 'muscle', 'aches', 'sore', 'throat']"
allergy,difficulty swallowing loss of appetite sore throat,"['difficulty', 'swallowing', 'loss', 'of', 'appetite', 'sore', 'throat']"
allergy,fatigue flaky skin puffy eyes tingling sensation,"['fatigue', 'flaky', 'skin', 'puffy', 'eyes', 'tingling', 'sensation']"
allergy,chest pain cramps diarrhea difficulty breathing nausea pain stomach cramps,"['chest', 'pain', 'cramps', 'diarrhea', 'difficulty', 'breathing', 'nausea', 'pain', 'stomach', 'cramps']"
allergy,itchy watery eyes,"['itchy', 'watery', 'eyes']"
allergy,runny nose,"['runny', 'nose']"
allergy,sneezing sore throat,"['sneezing', 'sore', 'throat']"
allergy,nasal congestion,"['nasal', 'congestion']"
allergy,fever headache wheezing,"['fever', 'headache', 'wheezing']"
allergy,cramps pain,"['cramps', 'pain']"
allergy,sore throat,"['sore', 'throat']"
allergy,dry skin,"['dry', 'skin']"
allergy,nausea swelling,"['nausea', 'swelling']"
allergy,headache,['headache']
allergy,itching,['itching']
allergy,cramps itchy,"['cramps', 'itchy']"
allergy,swelling,['swelling']
allergy,nausea,['nausea']
allergy,fatigue,['fatigue']
allergy,headache itchy watery eyes,"['headache', 'itchy', 'watery', 'eyes']"
allergy,cramps,['cramps']
allergy,headache itching swelling,"['headache', 'itching', 'swelling']"
gastroesophageal reflux disease,burning sensation,"['burning', 'sensation']"
gastroesophageal reflux disease,heartburn indigestion pain,"['heartburn', 'indigestion', 'pain']"
gastroesophageal reflux disease,belching burping chest pain pain,"['belching', 'burping', 'chest', 'pain', 'pain']"
gastroesophageal reflux disease,hiccups sour taste,"['hiccups', 'sour', 'taste']"
gastroesophageal reflux disease,bad breath sour taste tingling sensation,"['bad', 'breath', 'sour', 'taste', 'tingling', 'sensation']"
gastroesophageal reflux disease,chest pain heartburn indigestion pain,"['chest', 'pain', 'heartburn', 'indigestion', 'pain']"
gastroesophageal reflux disease,difficulty swallowing heartburn loss of appetite tingling sensation,"['difficulty', 'swallowing', 'heartburn', 'loss', 'of', 'appetite', 'tingling', 'sensation']"
gastroesophageal reflux disease,bad breath belching hoarseness pain sore throat,"['bad', 'breath', 'belching', 'hoarseness', 'pain', 'sore', 'throat']"
gastroesophageal reflux disease,pain,['pain']
gastroesophageal reflux disease,heartburn indigestion,"['heartburn', 'indigestion']"
gastroesophageal reflux disease,belching burping,"['belching', 'burping']"
gastroesophageal reflux disease,sour taste,"['sour', 'taste']"
gastroesophageal reflux disease,heartburn nausea,"['heartburn', 'nausea']"
gastroesophageal reflux disease,sore throat,"['sore', 'throat']"
gastroesophageal reflux disease,bad breath,"['bad', 'breath']"
gastroesophageal reflux disease,bad breath sore throat,"['bad', 'breath', 'sore', 'throat']"
gastroesophageal reflux disease,chest pain pain,"['chest', 'pain', 'pain']"
drug reaction,joint pain metallic taste muscle pain pain,"['joint', 'pain', 'metallic', 'taste', 'muscle', 'pain', 'pain']"
drug reaction,headache muscle twitching tremors,"['headache', 'muscle', 'twitching', 'tremors']"
drug reaction,fever,['fever']
drug reaction,tremors,['tremors']
drug reaction,chest pain pain,"['chest', 'pain', 'pain']"
drug reaction,flaky skin itching,"['flaky', 'skin', 'itching']"
drug reaction,hair loss increased dandruff itchy,"['hair', 'loss', 'increased', 'dandruff', 'itchy']"
drug reaction,brain fog,"['brain', 'fog']"
drug reaction,mood swings,"['mood', 'swings']"
drug reaction,weight gain,"['weight', 'gain']"
drug reaction,change in taste pain,"['change', 'in', 'taste', 'pain']"
drug reaction,headache,['headache']
drug reaction,nausea,['nausea']
drug reaction,flaky skin,"['flaky', 'skin']"
drug reaction,hair loss itching,"['hair', 'loss', 'itching']"
drug reaction,change in taste,"['change', 'in', 'taste']"
drug reaction,chest pain nausea pain,"['chest', 'pain', 'nausea', 'pain']"
drug reaction,itchy,['itchy']
drug reaction,dizziness headache,"['dizziness', 'headache']"
drug reaction,brain fog confusion,"['brain', 'fog', 'confusion']"
drug reaction,muscle pain pain,"['muscle', 'pain', 'pain']"
peptic ulcer disease,burning sensation heartburn indigestion,"['burning', 'sensation', 'heartburn', 'indigestion']"
peptic ulcer disease,bloating loss of appetite weight loss,"['bloating', 'loss', 'of', 'appetite', 'weight', 'loss']"
peptic ulcer disease,belching bloating difficulty swallowing sour taste,"['belching', 'bloating', 'difficulty', 'swallowing', 'sour', 'taste']"
peptic ulcer disease,anemia bloody stools,"['anemia', 'bloody', 'stools']"
peptic ulcer disease,abdominal cramps bloating cramps gas gnawing hunger spasms,"['abdominal', 'cramps', 'bloating', 'cramps', 'gas', 'gnawing', 'hunger', 'spasms']"
peptic ulcer disease,constipation diarrhea fatigue loss of appetite,"['constipation', 'diarrhea', 'fatigue', 'loss', 'of', 'appetite']"
peptic ulcer disease,abdominal pain pain,"['abdominal', 'pain', 'pain']"
peptic ulcer disease,abdominal pain fatigue loss of appetite pain,"['abdominal', 'pain', 'fatigue', 'loss', 'of', 'appetite', 'pain']"
peptic ulcer disease,belching burping,"['belching', 'burping']"
peptic ulcer disease,pain weight loss,"['pain', 'weight', 'loss']"
peptic ulcer disease,heartburn indigestion nausea,"['heartburn', 'indigestion', 'nausea']"
peptic ulcer disease,bloating,['bloating']
peptic ulcer disease,sour taste,"['sour', 'taste']"
peptic ulcer disease,bloody stools,"['bloody', 'stools']"
peptic ulcer disease,bloating gas,"['bloating', 'gas']"
peptic ulcer disease,pain,['pain']
peptic ulcer disease,dark tarry stools,"['dark', 'tarry', 'stools']"
peptic ulcer disease,diarrhea,['diarrhea']
peptic ulcer disease,heartburn indigestion,"['heartburn', 'indigestion']"
peptic ulcer disease,bloating cramps gas,"['bloating', 'cramps', 'gas']"
diabetes,dry mouth frequent urination increased thirst,"['dry', 'mouth', 'frequent', 'urination', 'increased', 'thirst']"
diabetes,blurred vision fatigue,"['blurred', 'vision', 'fatigue']"
diabetes,dry mouth,"['dry', 'mouth']"
diabetes,numbness tingling sensation,"['numbness', 'tingling', 'sensation']"
diabetes,difficulty concentrating,"['difficulty', 'concentrating']"
diabetes,fatigue muscle twitching tremors,"['fatigue', 'muscle', 'twitching', 'tremors']"
diabetes,skin irritations,"['skin', 'irritations']"
diabetes,difficulty breathing sweating yeast infections,"['difficulty', 'breathing', 'sweating', 'yeast', 'infections']"
diabetes,palpitations sore throat,"['palpitations', 'sore', 'throat']"
diabetes,dizziness lightheadedness,"['dizziness', 'lightheadedness']"
diabetes,tingling sensation,"['tingling', 'sensation']"
diabetes,palpitations,['palpitations']
diabetes,sweating yeast infections,"['sweating', 'yeast', 'infections']"
diabetes,fatigue lightheadedness,"['fatigue', 'lightheadedness']"
diabetes,yeast infections,"['yeast', 'infections']"
diabetes,skin rash,"['skin', 'rash']"
